# Pause toggle, 2026-08-12, MacBookPro18,3. Pass 1 paused, pass 2 unpaused.
# Mic state (CoreAudio, device 90), 5 Hz:
14:42:32.124  device=90  live
14:42:51.338  device=90  MUTED
14:42:56.234  device=90  live
done
# Lid angle, 10 Hz:
14:42:50.295    30°  screens=1  raw: 01 1e 00
14:42:50.401    30°  screens=1  raw: 01 1e 00
14:42:50.506    30°  screens=1  raw: 01 1e 00
14:42:50.609    30°  screens=1  raw: 01 1e 00
14:42:50.715    30°  screens=1  raw: 01 1e 00
14:42:50.818    30°  screens=1  raw: 01 1e 00
14:42:50.925    30°  screens=1  raw: 01 1e 00
14:42:51.028    30°  screens=1  raw: 01 1e 00
14:42:51.134    30°  screens=1  raw: 01 1e 00
14:42:51.241    30°  screens=1  raw: 01 1e 00
14:42:51.343    30°  screens=1  raw: 01 1e 00
14:42:51.450    30°  screens=1  raw: 01 1e 00
14:42:51.554    30°  screens=1  raw: 01 1e 00
14:42:51.659    30°  screens=1  raw: 01 1e 00
14:42:51.765    30°  screens=1  raw: 01 1e 00
14:42:51.871    30°  screens=1  raw: 01 1e 00
14:42:51.974    30°  screens=1  raw: 01 1e 00
14:42:52.080    30°  screens=1  raw: 01 1e 00
14:42:52.184    30°  screens=1  raw: 01 1e 00
14:42:52.285    30°  screens=1  raw: 01 1e 00
14:42:52.388    30°  screens=1  raw: 01 1e 00
14:42:52.493    30°  screens=1  raw: 01 1e 00
14:42:52.598    30°  screens=1  raw: 01 1e 00
14:42:52.703    30°  screens=1  raw: 01 1e 00
14:42:52.809    30°  screens=1  raw: 01 1e 00
14:42:52.915    30°  screens=1  raw: 01 1e 00
14:42:53.018    30°  screens=1  raw: 01 1e 00
14:42:53.126    30°  screens=1  raw: 01 1e 00
14:42:53.233    30°  screens=1  raw: 01 1e 00
14:42:53.338    30°  screens=1  raw: 01 1e 00
14:42:53.444    30°  screens=1  raw: 01 1e 00
14:42:53.549    30°  screens=1  raw: 01 1e 00
14:42:53.653    30°  screens=1  raw: 01 1e 00
14:42:53.758    30°  screens=1  raw: 01 1e 00
14:42:53.865    30°  screens=1  raw: 01 1e 00
14:42:53.968    30°  screens=1  raw: 01 1e 00
14:42:54.074    30°  screens=1  raw: 01 1e 00
14:42:54.179    30°  screens=1  raw: 01 1e 00
14:42:54.284    30°  screens=1  raw: 01 1e 00
14:42:54.392    31°  screens=1  raw: 01 1f 00
